level_0,index,word1,word2,answer,labels,text,kFold
0,0,鳥,飛行機,飛ぶ,2,鳥[SEP]飛行機[SEP]飛ぶ,0
1,1,鳥,飛行機,空を飛ぶ,2,鳥[SEP]飛行機[SEP]空を飛ぶ,0
2,2,鳥,飛行機,空を飛ぶことができる,2,鳥[SEP]飛行機[SEP]空を飛ぶことができる,0
3,3,鳥,飛行機,飛ぶことができる,2,鳥[SEP]飛行機[SEP]飛ぶことができる,0
4,4,鳥,飛行機,空中を移動する,2,鳥[SEP]飛行機[SEP]空中を移動する,0
5,5,鳥,飛行機,空中を移動することができる,2,鳥[SEP]飛行機[SEP]空中を移動することができる,0
6,6,鳥,飛行機,どちらも翼がある,1,鳥[SEP]飛行機[SEP]どちらも翼がある,0
7,7,鳥,飛行機,どちらも羽がある,1,鳥[SEP]飛行機[SEP]どちらも羽がある,0
8,8,鳥,飛行機,空で見つけられる,1,鳥[SEP]飛行機[SEP]空で見つけられる,0
9,9,鳥,飛行機,止められない,0,鳥[SEP]飛行機[SEP]止められない,0
10,10,鳥,飛行機,集合場所,0,鳥[SEP]飛行機[SEP]集合場所,0
11,11,鳥,飛行機,脳内物質を分泌させる,0,鳥[SEP]飛行機[SEP]脳内物質を分泌させる,0
12,12,鳥,飛行機,棒状,0,鳥[SEP]飛行機[SEP]棒状,0
13,13,剣,拳銃,武器,2,剣[SEP]拳銃[SEP]武器,0
14,14,剣,拳銃,対人兵器,2,剣[SEP]拳銃[SEP]対人兵器,0
15,15,剣,拳銃,武具,2,剣[SEP]拳銃[SEP]武具,0
16,16,剣,拳銃,危険だ,1,剣[SEP]拳銃[SEP]危険だ,0
17,17,剣,拳銃,持ち手がある,1,剣[SEP]拳銃[SEP]持ち手がある,0
18,18,剣,拳銃,人を傷つける,1,剣[SEP]拳銃[SEP]人を傷つける,0
19,19,剣,拳銃,攻撃するもの,1,剣[SEP]拳銃[SEP]攻撃するもの,0
20,20,剣,拳銃,殺す,1,剣[SEP]拳銃[SEP]殺す,0
21,21,剣,拳銃,殺す能力がある,1,剣[SEP]拳銃[SEP]殺す能力がある,0
22,22,剣,拳銃,身を守るもの,1,剣[SEP]拳銃[SEP]身を守るもの,0
23,23,剣,拳銃,凶器,1,剣[SEP]拳銃[SEP]凶器,0
24,24,剣,拳銃,他者を威嚇する,1,剣[SEP]拳銃[SEP]他者を威嚇する,0
25,25,剣,拳銃,取り扱いが危険,1,剣[SEP]拳銃[SEP]取り扱いが危険,0
26,26,剣,拳銃,登ることができる,0,剣[SEP]拳銃[SEP]登ることができる,0
27,27,剣,拳銃,進むのが困難,0,剣[SEP]拳銃[SEP]進むのが困難,0
28,28,剣,拳銃,行き先を塞ぐ,0,剣[SEP]拳銃[SEP]行き先を塞ぐ,0
29,29,剣,拳銃,平たい,0,剣[SEP]拳銃[SEP]平たい,0
30,30,剣,拳銃,隔てる,0,剣[SEP]拳銃[SEP]隔てる,0
31,31,剣,拳銃,頂点がある,0,剣[SEP]拳銃[SEP]頂点がある,0
32,32,みかん,ボール,円形,2,みかん[SEP]ボール[SEP]円形,0
33,33,みかん,ボール,球形,2,みかん[SEP]ボール[SEP]球形,0
34,34,みかん,ボール,球状,2,みかん[SEP]ボール[SEP]球状,0
35,35,みかん,ボール,球体,2,みかん[SEP]ボール[SEP]球体,0
36,36,みかん,ボール,丸い,1,みかん[SEP]ボール[SEP]丸い,0
37,37,みかん,ボール,縁がない,1,みかん[SEP]ボール[SEP]縁がない,0
38,38,みかん,ボール,大きさが似ている,1,みかん[SEP]ボール[SEP]大きさが似ている,0
39,39,みかん,ボール,形が似ている,1,みかん[SEP]ボール[SEP]形が似ている,0
40,40,みかん,ボール,転がる,1,みかん[SEP]ボール[SEP]転がる,0
41,41,みかん,ボール,手で持てる,1,みかん[SEP]ボール[SEP]手で持てる,0
42,42,みかん,ボール,真ん中に空白がある,0,みかん[SEP]ボール[SEP]真ん中に空白がある,0
43,43,みかん,ボール,硬い,0,みかん[SEP]ボール[SEP]硬い,0
44,44,みかん,ボール,2つの要素を合わせる,0,みかん[SEP]ボール[SEP]2つの要素を合わせる,0
45,45,みかん,ボール,探求する,0,みかん[SEP]ボール[SEP]探求する,0
46,46,みかん,ボール,人々が出逢う建物,0,みかん[SEP]ボール[SEP]人々が出逢う建物,0
47,47,太陽,電球,光を放つ,2,太陽[SEP]電球[SEP]光を放つ,0
48,48,太陽,電球,光を放出する,2,太陽[SEP]電球[SEP]光を放出する,0
49,49,太陽,電球,光を発する,2,太陽[SEP]電球[SEP]光を発する,0
50,50,太陽,電球,光をもたらす,2,太陽[SEP]電球[SEP]光をもたらす,0
51,51,太陽,電球,照らす,2,太陽[SEP]電球[SEP]照らす,0
52,52,太陽,電球,光源,2,太陽[SEP]電球[SEP]光源,0
53,53,太陽,電球,明かりとなるところ,2,太陽[SEP]電球[SEP]明かりとなるところ,0
54,54,太陽,電球,明るい,1,太陽[SEP]電球[SEP]明るい,0
55,55,太陽,電球,明るさを提供する,1,太陽[SEP]電球[SEP]明るさを提供する,0
56,56,太陽,電球,明るくできる,1,太陽[SEP]電球[SEP]明るくできる,0
57,57,太陽,電球,光り輝いている,1,太陽[SEP]電球[SEP]光り輝いている,0
58,58,太陽,電球,輝いている,1,太陽[SEP]電球[SEP]輝いている,0
59,59,太陽,電球,眩しい,1,太陽[SEP]電球[SEP]眩しい,0
60,60,太陽,電球,熱を持つ,1,太陽[SEP]電球[SEP]熱を持つ,0
61,61,太陽,電球,人々が出逢う建物,0,太陽[SEP]電球[SEP]人々が出逢う建物,0
62,62,太陽,電球,手繰り寄せる,0,太陽[SEP]電球[SEP]手繰り寄せる,0
63,63,太陽,電球,輝かしい,0,太陽[SEP]電球[SEP]輝かしい,0
64,64,太陽,電球,永遠だ,0,太陽[SEP]電球[SEP]永遠だ,0
65,65,太陽,電球,頭を使って解決できる,0,太陽[SEP]電球[SEP]頭を使って解決できる,0
66,66,太陽,電球,溺れることがある,0,太陽[SEP]電球[SEP]溺れることがある,0
67,67,太陽,電球,資産ができる,0,太陽[SEP]電球[SEP]資産ができる,0
68,68,紙,葉っぱ,平坦なシート,2,紙[SEP]葉っぱ[SEP]平坦なシート,0
69,69,紙,葉っぱ,薄いシート,2,紙[SEP]葉っぱ[SEP]薄いシート,0
70,70,紙,葉っぱ,植物,2,紙[SEP]葉っぱ[SEP]植物,0
71,71,紙,葉っぱ,木製,2,紙[SEP]葉っぱ[SEP]木製,0
72,72,紙,葉っぱ,木からできている,2,紙[SEP]葉っぱ[SEP]木からできている,0
73,73,紙,葉っぱ,食物繊維でできている,2,紙[SEP]葉っぱ[SEP]食物繊維でできている,0
74,74,紙,葉っぱ,セルロースでできている,2,紙[SEP]葉っぱ[SEP]セルロースでできている,0
75,75,紙,葉っぱ,引き裂ける,1,紙[SEP]葉っぱ[SEP]引き裂ける,0
76,76,紙,葉っぱ,千切れる,1,紙[SEP]葉っぱ[SEP]千切れる,0
77,77,紙,葉っぱ,折れ曲がる,1,紙[SEP]葉っぱ[SEP]折れ曲がる,0
78,78,紙,葉っぱ,ものを包める,1,紙[SEP]葉っぱ[SEP]ものを包める,0
79,79,紙,葉っぱ,軽い,1,紙[SEP]葉っぱ[SEP]軽い,0
80,80,紙,葉っぱ,脆い,1,紙[SEP]葉っぱ[SEP]脆い,0
81,81,紙,葉っぱ,薄い,1,紙[SEP]葉っぱ[SEP]薄い,0
82,82,紙,葉っぱ,平たい,1,紙[SEP]葉っぱ[SEP]平たい,0
83,83,紙,葉っぱ,燃えやすい,1,紙[SEP]葉っぱ[SEP]燃えやすい,0
84,84,紙,葉っぱ,書き込むことができる,1,紙[SEP]葉っぱ[SEP]書き込むことができる,0
85,85,紙,葉っぱ,連絡手段になる,1,紙[SEP]葉っぱ[SEP]連絡手段になる,0
86,86,紙,葉っぱ,トーラスに似ている,0,紙[SEP]葉っぱ[SEP]トーラスに似ている,0
87,87,紙,葉っぱ,説教する人がいる,0,紙[SEP]葉っぱ[SEP]説教する人がいる,0
88,88,紙,葉っぱ,眩しい,0,紙[SEP]葉っぱ[SEP]眩しい,0
89,89,紙,葉っぱ,どこかにつながっている,0,紙[SEP]葉っぱ[SEP]どこかにつながっている,0
90,90,紙,葉っぱ,引っかかる,0,紙[SEP]葉っぱ[SEP]引っかかる,0
91,91,紙,葉っぱ,張り巡らされている,0,紙[SEP]葉っぱ[SEP]張り巡らされている,0
92,92,紙,葉っぱ,どちらも羽がある,0,紙[SEP]葉っぱ[SEP]どちらも羽がある,0
93,93,紙,葉っぱ,貴重だ,0,紙[SEP]葉っぱ[SEP]貴重だ,0
94,94,紙,葉っぱ,依存性がある,0,紙[SEP]葉っぱ[SEP]依存性がある,0
95,95,山頂,針,先端が尖っている,2,山頂[SEP]針[SEP]先端が尖っている,0
96,96,山頂,針,尖っている,2,山頂[SEP]針[SEP]尖っている,0
97,97,山頂,針,先のとがっている,2,山頂[SEP]針[SEP]先のとがっている,0
98,98,山頂,針,凸型,2,山頂[SEP]針[SEP]凸型,0
99,99,山頂,針,とがり,2,山頂[SEP]針[SEP]とがり,0
100,100,山頂,針,鋭い,1,山頂[SEP]針[SEP]鋭い,0
101,101,山頂,針,棒状,1,山頂[SEP]針[SEP]棒状,0
102,102,山頂,針,突くことができる,1,山頂[SEP]針[SEP]突くことができる,0
103,103,山頂,針,先端が細い,1,山頂[SEP]針[SEP]先端が細い,0
104,104,山頂,針,頂点がある,1,山頂[SEP]針[SEP]頂点がある,0
105,105,山頂,針,建物,0,山頂[SEP]針[SEP]建物,0
106,106,山頂,針,飛ぶことができる,0,山頂[SEP]針[SEP]飛ぶことができる,0
107,107,山頂,針,飛ぶ,0,山頂[SEP]針[SEP]飛ぶ,0
108,108,山頂,針,継続的に通り過ぎる,0,山頂[SEP]針[SEP]継続的に通り過ぎる,0
109,109,山頂,針,続く,0,山頂[SEP]針[SEP]続く,0
110,110,道,川,交通路,2,道[SEP]川[SEP]交通路,0
111,111,道,川,小道,2,道[SEP]川[SEP]小道,0
112,112,道,川,移動できる,2,道[SEP]川[SEP]移動できる,0
113,113,道,川,進むことができる,2,道[SEP]川[SEP]進むことができる,0
114,114,道,川,渡ることができる,2,道[SEP]川[SEP]渡ることができる,0
115,115,道,川,ものを運ぶことができる,2,道[SEP]川[SEP]ものを運ぶことができる,0
116,116,道,川,交通手段,2,道[SEP]川[SEP]交通手段,0
117,117,道,川,動脈,2,道[SEP]川[SEP]動脈,0
118,118,道,川,どちらも流れる,1,道[SEP]川[SEP]どちらも流れる,0
119,119,道,川,連続する,1,道[SEP]川[SEP]連続する,0
120,120,道,川,続いている,1,道[SEP]川[SEP]続いている,0
121,121,道,川,長く続く,1,道[SEP]川[SEP]長く続く,0
122,122,道,川,長くて細い,1,道[SEP]川[SEP]長くて細い,0
123,123,道,川,どこかにつながっている,1,道[SEP]川[SEP]どこかにつながっている,0
