level_0,index,word1,word2,answer,labels,text,kFold
0,0,鳥,飛行機,飛ぶ,2,鳥[SEP]飛行機[SEP]飛ぶ,1
1,1,鳥,飛行機,空を飛ぶ,2,鳥[SEP]飛行機[SEP]空を飛ぶ,1
2,2,鳥,飛行機,空を飛ぶことができる,2,鳥[SEP]飛行機[SEP]空を飛ぶことができる,1
3,3,鳥,飛行機,飛ぶことができる,2,鳥[SEP]飛行機[SEP]飛ぶことができる,1
4,4,鳥,飛行機,空中を移動する,2,鳥[SEP]飛行機[SEP]空中を移動する,1
5,5,鳥,飛行機,空中を移動することができる,2,鳥[SEP]飛行機[SEP]空中を移動することができる,1
6,6,鳥,飛行機,どちらも翼がある,1,鳥[SEP]飛行機[SEP]どちらも翼がある,1
7,7,鳥,飛行機,どちらも羽がある,1,鳥[SEP]飛行機[SEP]どちらも羽がある,1
8,8,鳥,飛行機,空で見つけられる,1,鳥[SEP]飛行機[SEP]空で見つけられる,1
9,9,鳥,飛行機,止められない,0,鳥[SEP]飛行機[SEP]止められない,1
10,10,鳥,飛行機,集合場所,0,鳥[SEP]飛行機[SEP]集合場所,1
11,11,鳥,飛行機,脳内物質を分泌させる,0,鳥[SEP]飛行機[SEP]脳内物質を分泌させる,1
12,12,鳥,飛行機,棒状,0,鳥[SEP]飛行機[SEP]棒状,1
13,13,剣,拳銃,武器,2,剣[SEP]拳銃[SEP]武器,1
14,14,剣,拳銃,対人兵器,2,剣[SEP]拳銃[SEP]対人兵器,1
15,15,剣,拳銃,武具,2,剣[SEP]拳銃[SEP]武具,1
16,16,剣,拳銃,危険だ,1,剣[SEP]拳銃[SEP]危険だ,1
17,17,剣,拳銃,持ち手がある,1,剣[SEP]拳銃[SEP]持ち手がある,1
18,18,剣,拳銃,人を傷つける,1,剣[SEP]拳銃[SEP]人を傷つける,1
19,19,剣,拳銃,攻撃するもの,1,剣[SEP]拳銃[SEP]攻撃するもの,1
20,20,剣,拳銃,殺す,1,剣[SEP]拳銃[SEP]殺す,1
21,21,剣,拳銃,殺す能力がある,1,剣[SEP]拳銃[SEP]殺す能力がある,1
22,22,剣,拳銃,身を守るもの,1,剣[SEP]拳銃[SEP]身を守るもの,1
23,23,剣,拳銃,凶器,1,剣[SEP]拳銃[SEP]凶器,1
24,24,剣,拳銃,他者を威嚇する,1,剣[SEP]拳銃[SEP]他者を威嚇する,1
25,25,剣,拳銃,取り扱いが危険,1,剣[SEP]拳銃[SEP]取り扱いが危険,1
26,26,剣,拳銃,登ることができる,0,剣[SEP]拳銃[SEP]登ることができる,1
27,27,剣,拳銃,進むのが困難,0,剣[SEP]拳銃[SEP]進むのが困難,1
28,28,剣,拳銃,行き先を塞ぐ,0,剣[SEP]拳銃[SEP]行き先を塞ぐ,1
29,29,剣,拳銃,平たい,0,剣[SEP]拳銃[SEP]平たい,1
30,30,剣,拳銃,隔てる,0,剣[SEP]拳銃[SEP]隔てる,1
31,31,剣,拳銃,頂点がある,0,剣[SEP]拳銃[SEP]頂点がある,1
32,32,みかん,ボール,円形,2,みかん[SEP]ボール[SEP]円形,1
33,33,みかん,ボール,球形,2,みかん[SEP]ボール[SEP]球形,1
