level_0,index,word1,word2,answer,labels,text,kFold
0,0,鳥,飛行機,飛ぶ,2,鳥[SEP]飛行機[SEP]飛ぶ,9
1,1,鳥,飛行機,空を飛ぶ,2,鳥[SEP]飛行機[SEP]空を飛ぶ,9
2,2,鳥,飛行機,空を飛ぶことができる,2,鳥[SEP]飛行機[SEP]空を飛ぶことができる,9
3,3,鳥,飛行機,飛ぶことができる,2,鳥[SEP]飛行機[SEP]飛ぶことができる,9
4,4,鳥,飛行機,空中を移動する,2,鳥[SEP]飛行機[SEP]空中を移動する,9
5,5,鳥,飛行機,空中を移動することができる,2,鳥[SEP]飛行機[SEP]空中を移動することができる,9
6,6,鳥,飛行機,どちらも翼がある,1,鳥[SEP]飛行機[SEP]どちらも翼がある,9
7,7,鳥,飛行機,どちらも羽がある,1,鳥[SEP]飛行機[SEP]どちらも羽がある,9
8,8,鳥,飛行機,空で見つけられる,1,鳥[SEP]飛行機[SEP]空で見つけられる,9
9,9,鳥,飛行機,止められない,0,鳥[SEP]飛行機[SEP]止められない,9
10,10,鳥,飛行機,集合場所,0,鳥[SEP]飛行機[SEP]集合場所,9
11,11,鳥,飛行機,脳内物質を分泌させる,0,鳥[SEP]飛行機[SEP]脳内物質を分泌させる,9
12,12,鳥,飛行機,棒状,0,鳥[SEP]飛行機[SEP]棒状,9
13,13,剣,拳銃,武器,2,剣[SEP]拳銃[SEP]武器,9
14,14,剣,拳銃,対人兵器,2,剣[SEP]拳銃[SEP]対人兵器,9
15,15,剣,拳銃,武具,2,剣[SEP]拳銃[SEP]武具,9
16,16,剣,拳銃,危険だ,1,剣[SEP]拳銃[SEP]危険だ,9
17,17,剣,拳銃,持ち手がある,1,剣[SEP]拳銃[SEP]持ち手がある,9
18,18,剣,拳銃,人を傷つける,1,剣[SEP]拳銃[SEP]人を傷つける,9
19,19,剣,拳銃,攻撃するもの,1,剣[SEP]拳銃[SEP]攻撃するもの,9
20,20,剣,拳銃,殺す,1,剣[SEP]拳銃[SEP]殺す,9
21,21,剣,拳銃,殺す能力がある,1,剣[SEP]拳銃[SEP]殺す能力がある,9
22,22,剣,拳銃,身を守るもの,1,剣[SEP]拳銃[SEP]身を守るもの,9
23,23,剣,拳銃,凶器,1,剣[SEP]拳銃[SEP]凶器,9
24,24,剣,拳銃,他者を威嚇する,1,剣[SEP]拳銃[SEP]他者を威嚇する,9
25,25,剣,拳銃,取り扱いが危険,1,剣[SEP]拳銃[SEP]取り扱いが危険,9
26,26,剣,拳銃,登ることができる,0,剣[SEP]拳銃[SEP]登ることができる,9
27,27,剣,拳銃,進むのが困難,0,剣[SEP]拳銃[SEP]進むのが困難,9
28,28,剣,拳銃,行き先を塞ぐ,0,剣[SEP]拳銃[SEP]行き先を塞ぐ,9
29,29,剣,拳銃,平たい,0,剣[SEP]拳銃[SEP]平たい,9
30,30,剣,拳銃,隔てる,0,剣[SEP]拳銃[SEP]隔てる,9
31,31,剣,拳銃,頂点がある,0,剣[SEP]拳銃[SEP]頂点がある,9
32,32,みかん,ボール,円形,2,みかん[SEP]ボール[SEP]円形,9
33,33,みかん,ボール,球形,2,みかん[SEP]ボール[SEP]球形,9
34,34,みかん,ボール,球状,2,みかん[SEP]ボール[SEP]球状,9
35,35,みかん,ボール,球体,2,みかん[SEP]ボール[SEP]球体,9
36,36,みかん,ボール,丸い,1,みかん[SEP]ボール[SEP]丸い,9
37,37,みかん,ボール,縁がない,1,みかん[SEP]ボール[SEP]縁がない,9
38,38,みかん,ボール,大きさが似ている,1,みかん[SEP]ボール[SEP]大きさが似ている,9
39,39,みかん,ボール,形が似ている,1,みかん[SEP]ボール[SEP]形が似ている,9
40,40,みかん,ボール,転がる,1,みかん[SEP]ボール[SEP]転がる,9
41,41,みかん,ボール,手で持てる,1,みかん[SEP]ボール[SEP]手で持てる,9
42,42,みかん,ボール,真ん中に空白がある,0,みかん[SEP]ボール[SEP]真ん中に空白がある,9
43,43,みかん,ボール,硬い,0,みかん[SEP]ボール[SEP]硬い,9
44,44,みかん,ボール,2つの要素を合わせる,0,みかん[SEP]ボール[SEP]2つの要素を合わせる,9
45,45,みかん,ボール,探求する,0,みかん[SEP]ボール[SEP]探求する,9
